iteration,seed,time_ms,algorithmEI,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,dailyProfitIni,dailyProfitFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
0,1234,2370,Aleatorio,true,false,false,false,78,true,true,Avanzada,-95804.0,-104868.0,12524.0,5440.0,73360.0,73000.0,122000.0,122360.0,75,75,10,10,6262,2720
0,1234,2247,Aleatorio,true,false,false,false,97,true,true,Basica,-109476.0,-118922.0,12524.0,3368.0,73360.0,73070.0,122000.0,122290.0,75,75,10,10,6262,1684
0,1234,1747,Aleatorio,true,false,false,false,78,true,true,Avanzada,-95804.0,-104868.0,12524.0,5440.0,73360.0,73000.0,122000.0,122360.0,75,75,10,10,6262,2720
0,1234,2059,Aleatorio,true,false,false,false,97,true,true,Basica,-109476.0,-118922.0,12524.0,3368.0,73360.0,73070.0,122000.0,122290.0,75,75,10,10,6262,1684
0,1234,1864,Aleatorio,true,false,false,false,78,true,true,Avanzada,-95804.0,-104868.0,12524.0,5440.0,73360.0,73000.0,122000.0,122360.0,75,75,10,10,6262,2720
0,1234,2140,Aleatorio,true,false,false,false,97,true,true,Basica,-109476.0,-118922.0,12524.0,3368.0,73360.0,73070.0,122000.0,122290.0,75,75,10,10,6262,1684
0,1234,1703,Aleatorio,true,false,false,false,78,true,true,Avanzada,-95804.0,-104868.0,12524.0,5440.0,73360.0,73000.0,122000.0,122360.0,75,75,10,10,6262,2720
0,1234,2323,Aleatorio,true,false,false,false,97,true,true,Basica,-109476.0,-118922.0,12524.0,3368.0,73360.0,73070.0,122000.0,122290.0,75,75,10,10,6262,1684
0,1234,1869,Aleatorio,true,false,false,false,78,true,true,Avanzada,-95804.0,-104868.0,12524.0,5440.0,73360.0,73000.0,122000.0,122360.0,75,75,10,10,6262,2720
0,1234,2142,Aleatorio,true,false,false,false,97,true,true,Basica,-109476.0,-118922.0,12524.0,3368.0,73360.0,73070.0,122000.0,122290.0,75,75,10,10,6262,1684
0,1234,29,Aleatorio,false,true,false,false,6,true,true,Avanzada,-95804.0,-97302.0,12524.0,12648.0,73360.0,78110.0,122000.0,122250.0,75,80,10,10,6262,6324
0,1234,24,Aleatorio,false,true,false,false,6,true,true,Basica,-109476.0,-109624.0,12524.0,12576.0,73360.0,78160.0,122000.0,122200.0,75,80,10,10,6262,6288
0,1234,28,Aleatorio,false,true,false,false,6,true,true,Avanzada,-95804.0,-97302.0,12524.0,12648.0,73360.0,78110.0,122000.0,122250.0,75,80,10,10,6262,6324
0,1234,27,Aleatorio,false,true,false,false,6,true,true,Basica,-109476.0,-109624.0,12524.0,12576.0,73360.0,78160.0,122000.0,122200.0,75,80,10,10,6262,6288
0,1234,26,Aleatorio,false,true,false,false,6,true,true,Avanzada,-95804.0,-97302.0,12524.0,12648.0,73360.0,78110.0,122000.0,122250.0,75,80,10,10,6262,6324
0,1234,27,Aleatorio,false,true,false,false,6,true,true,Basica,-109476.0,-109624.0,12524.0,12576.0,73360.0,78160.0,122000.0,122200.0,75,80,10,10,6262,6288
0,1234,26,Aleatorio,false,true,false,false,6,true,true,Avanzada,-95804.0,-97302.0,12524.0,12648.0,73360.0,78110.0,122000.0,122250.0,75,80,10,10,6262,6324
0,1234,29,Aleatorio,false,true,false,false,6,true,true,Basica,-109476.0,-109624.0,12524.0,12576.0,73360.0,78160.0,122000.0,122200.0,75,80,10,10,6262,6288
0,1234,27,Aleatorio,false,true,false,false,6,true,true,Avanzada,-95804.0,-97302.0,12524.0,12648.0,73360.0,78110.0,122000.0,122250.0,75,80,10,10,6262,6324
0,1234,26,Aleatorio,false,true,false,false,6,true,true,Basica,-109476.0,-109624.0,12524.0,12576.0,73360.0,78160.0,122000.0,122200.0,75,80,10,10,6262,6288
