iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
0,1234,358,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Avanzada,-96800.0,-110272.0,12592.0,6288.0,78260.0,96560.0,80,99,10,10,6296,3144
0,1234,247,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Avanzada,-96800.0,-110668.0,12592.0,5964.0,78260.0,97520.0,80,100,10,10,6296,2982
0,1234,250,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Avanzada,-96800.0,-110634.0,12592.0,6420.0,78260.0,97530.0,80,100,10,10,6296,3210
0,1234,237,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Avanzada,-96800.0,-110616.0,12592.0,6460.0,78260.0,97520.0,80,100,10,10,6296,3230
0,1234,222,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Avanzada,-96800.0,-110574.0,12592.0,6176.0,78260.0,97510.0,80,100,10,10,6296,3088
1,1,218,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-99032.0,-112498.0,12648.0,5112.0,77620.0,96050.0,79,98,10,10,6324,2556
1,1,219,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-99032.0,-112790.0,12648.0,5548.0,77620.0,98050.0,79,100,10,10,6324,2774
1,1,228,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-99032.0,-112384.0,12648.0,5680.0,77620.0,97080.0,79,99,10,10,6324,2840
1,1,252,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-99032.0,-112842.0,12648.0,5568.0,77620.0,98030.0,79,100,10,10,6324,2784
1,1,218,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-99032.0,-112320.0,12648.0,5612.0,77620.0,96120.0,79,98,10,10,6324,2806
2,91011,243,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-100554.0,-114036.0,12520.0,6936.0,76430.0,96040.0,78,98,10,10,6260,3468
2,91011,249,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-100554.0,-114592.0,12520.0,6936.0,76430.0,97980.0,78,100,10,10,6260,3468
2,91011,243,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-100554.0,-114396.0,12520.0,7372.0,76430.0,97940.0,78,100,10,10,6260,3686
2,91011,240,Aleatorio,Simulated Annealing,true,true,true,true,20001,true,true,Basica,-100554.0,-113868.0,12520.0,7016.0,76430.0,95940.0,78,98,10,10,6260,3508
