iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,totalTrucks,totalGasStations
5,181920,530,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-142970.0,-185086.0,22180.0,9904.0,165150.0,194990.0,169,199,20,20,11090,4952,20,200
6,2134565223,75569,GreedyCuadrantes,HillClimbing,true,true,true,false,212,true,true,Basica,-138366.0,-189652.0,23084.0,7248.0,161450.0,196900.0,165,200,20,20,11542,3624,20,200
6,2134565223,485,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-138366.0,-187198.0,23084.0,9332.0,161450.0,196530.0,165,200,20,20,11542,4666,20,200
7,242526,73419,GreedyCuadrantes,HillClimbing,true,true,true,false,194,true,true,Basica,-143384.0,-187956.0,20176.0,8424.0,163560.0,196380.0,167,200,20,20,10088,4212,20,200
7,242526,501,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-143384.0,-184874.0,20176.0,9376.0,163560.0,194250.0,167,198,20,20,10088,4688,20,200
8,669610,92012,GreedyCuadrantes,HillClimbing,true,true,true,false,222,true,true,Basica,-147968.0,-189014.0,22352.0,7696.0,170320.0,196710.0,174,200,20,20,11176,3848,20,200
8,669610,765,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-147968.0,-183868.0,22352.0,8772.0,170320.0,192640.0,174,196,20,20,11176,4386,20,200
9,303132,66147,GreedyCuadrantes,HillClimbing,true,true,true,false,177,true,true,Basica,-141638.0,-189408.0,21652.0,7132.0,163290.0,196540.0,167,200,20,20,10826,3566,20,200
9,303132,545,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-141638.0,-185816.0,21652.0,8504.0,163290.0,194320.0,167,198,20,20,10826,4252,20,200
0,1234,534623,GreedyCuadrantes,HillClimbing,true,true,true,false,331,true,true,Basica,-215968.0,-285476.0,32972.0,9524.0,248940.0,295000.0,254,300,30,30,16486,4762,30,300
0,1234,1058,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-215968.0,-277330.0,32972.0,14300.0,248940.0,291630.0,254,297,30,30,16486,7150,30,300
