iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
0,1234,1872,Aleatorio,HilllClimbing,true,false,true,true,69,true,true,Avanzada,-59488.0,-68868.0,12692.0,3312.0,73400.0,73440.0,75,75,10,10,6346,1656
0,1234,1580,Aleatorio,HilllClimbing,true,false,true,true,71,true,true,Basica,-60708.0,-70456.0,12692.0,3284.0,73400.0,73740.0,75,75,10,10,6346,1642
0,1234,2199,Aleatorio,HilllClimbing,true,false,true,true,69,true,true,Avanzada,-59488.0,-68868.0,12692.0,3312.0,73400.0,73440.0,75,75,10,10,6346,1656
0,1234,1408,Aleatorio,HilllClimbing,true,false,true,true,71,true,true,Basica,-60708.0,-70456.0,12692.0,3284.0,73400.0,73740.0,75,75,10,10,6346,1642
0,1234,2147,Aleatorio,HilllClimbing,true,false,true,true,69,true,true,Avanzada,-59488.0,-68868.0,12692.0,3312.0,73400.0,73440.0,75,75,10,10,6346,1656
0,1234,1639,Aleatorio,HilllClimbing,true,false,true,true,71,true,true,Basica,-60708.0,-70456.0,12692.0,3284.0,73400.0,73740.0,75,75,10,10,6346,1642
0,1234,1942,Aleatorio,HilllClimbing,true,false,true,true,69,true,true,Avanzada,-59488.0,-68868.0,12692.0,3312.0,73400.0,73440.0,75,75,10,10,6346,1656
0,1234,1583,Aleatorio,HilllClimbing,true,false,true,true,71,true,true,Basica,-60708.0,-70456.0,12692.0,3284.0,73400.0,73740.0,75,75,10,10,6346,1642
0,1234,2090,Aleatorio,HilllClimbing,true,false,true,true,69,true,true,Avanzada,-59488.0,-68868.0,12692.0,3312.0,73400.0,73440.0,75,75,10,10,6346,1656
0,1234,1449,Aleatorio,HilllClimbing,true,false,true,true,71,true,true,Basica,-60708.0,-70456.0,12692.0,3284.0,73400.0,73740.0,75,75,10,10,6346,1642
0,1234,210,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Avanzada,-59488.0,-84472.0,12692.0,10708.0,73400.0,95950.0,75,98,10,10,6346,5354
0,1234,189,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Basica,-60708.0,-85220.0,12692.0,10880.0,73400.0,96100.0,75,98,10,10,6346,5440
0,1234,199,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Avanzada,-59488.0,-84472.0,12692.0,10708.0,73400.0,95950.0,75,98,10,10,6346,5354
0,1234,177,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Basica,-60708.0,-85220.0,12692.0,10880.0,73400.0,96100.0,75,98,10,10,6346,5440
0,1234,176,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Avanzada,-59488.0,-84472.0,12692.0,10708.0,73400.0,95950.0,75,98,10,10,6346,5354
0,1234,169,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Basica,-60708.0,-85220.0,12692.0,10880.0,73400.0,96100.0,75,98,10,10,6346,5440
0,1234,180,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Avanzada,-59488.0,-84472.0,12692.0,10708.0,73400.0,95950.0,75,98,10,10,6346,5354
0,1234,160,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Basica,-60708.0,-85220.0,12692.0,10880.0,73400.0,96100.0,75,98,10,10,6346,5440
0,1234,172,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Avanzada,-59488.0,-84472.0,12692.0,10708.0,73400.0,95950.0,75,98,10,10,6346,5354
0,1234,157,Aleatorio,HilllClimbing,false,true,true,true,44,true,true,Basica,-60708.0,-85220.0,12692.0,10880.0,73400.0,96100.0,75,98,10,10,6346,5440
0,1234,2318,Aleatorio,HilllClimbing,true,true,false,false,100,true,true,Avanzada,-59488.0,-91860.0,12692.0,5320.0,73400.0,97900.0,75,100,10,10,6346,2660
0,1234,1843,Aleatorio,HilllClimbing,true,true,false,false,95,true,true,Basica,-60708.0,-92696.0,12692.0,5344.0,73400.0,98040.0,75,100,10,10,6346,2672
0,1234,2205,Aleatorio,HilllClimbing,true,true,false,false,100,true,true,Avanzada,-59488.0,-91860.0,12692.0,5320.0,73400.0,97900.0,75,100,10,10,6346,2660
