iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,k,lambda
2,91011,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-71798.0,-87702.0,11592.0,9488.0,83390.0,97190.0,85,99,10,10,5796,4744,1,1.0
2,91011,188,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-91216.0,11592.0,6104.0,83390.0,97320.0,85,99,10,10,5796,3052,5,1.0E-4
2,91011,195,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-92184.0,11592.0,6136.0,83390.0,98320.0,85,100,10,10,5796,3068,5,0.01
2,91011,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-71798.0,-88066.0,11592.0,9024.0,83390.0,97090.0,85,99,10,10,5796,4512,5,1.0
2,91011,189,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90586.0,11592.0,5664.0,83390.0,96250.0,85,98,10,10,5796,2832,25,1.0E-4
2,91011,190,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-92406.0,11592.0,5864.0,83390.0,98270.0,85,100,10,10,5796,2932,25,0.01
2,91011,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-71798.0,-87466.0,11592.0,8904.0,83390.0,96370.0,85,98,10,10,5796,4452,25,1.0
2,91011,248,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90506.0,11592.0,6724.0,83390.0,97230.0,85,99,10,10,5796,3362,125,1.0E-4
2,91011,181,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-71798.0,-90534.0,11592.0,5836.0,83390.0,96370.0,85,98,10,10,5796,2918,125,0.01
2,91011,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-71798.0,-86890.0,11592.0,9380.0,83390.0,96270.0,85,98,10,10,5796,4690,125,1.0
3,121314,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91924.0,10364.0,5316.0,82430.0,97240.0,84,99,10,10,5182,2658,1,1.0E-4
3,121314,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91308.0,10364.0,5012.0,82430.0,96320.0,84,98,10,10,5182,2506,1,0.01
3,121314,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72066.0,-88342.0,10364.0,7748.0,82430.0,96090.0,84,98,10,10,5182,3874,1,1.0
3,121314,166,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-90250.0,10364.0,5120.0,82430.0,95370.0,84,97,10,10,5182,2560,5,1.0E-4
3,121314,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91296.0,10364.0,5004.0,82430.0,96300.0,84,98,10,10,5182,2502,5,0.01
3,121314,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72066.0,-88566.0,10364.0,8524.0,82430.0,97090.0,84,99,10,10,5182,4262,5,1.0
3,121314,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91922.0,10364.0,5328.0,82430.0,97250.0,84,99,10,10,5182,2664,25,1.0E-4
3,121314,165,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-92814.0,10364.0,5436.0,82430.0,98250.0,84,100,10,10,5182,2718,25,0.01
3,121314,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72066.0,-88056.0,10364.0,9124.0,82430.0,97180.0,84,99,10,10,5182,4562,25,1.0
3,121314,223,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-91678.0,10364.0,6552.0,82430.0,98230.0,84,100,10,10,5182,3276,125,1.0E-4
3,121314,165,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72066.0,-90286.0,10364.0,5044.0,82430.0,95330.0,84,97,10,10,5182,2522,125,0.01
3,121314,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72066.0,-87080.0,10364.0,8100.0,82430.0,95180.0,84,97,10,10,5182,4050,125,1.0
4,151617,168,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-90334.0,9792.0,4976.0,84070.0,95310.0,86,97,10,10,4896,2488,1,1.0E-4
4,151617,168,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92202.0,9792.0,4888.0,84070.0,97090.0,86,99,10,10,4896,2444,1,0.01
4,151617,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74278.0,-88742.0,9792.0,8228.0,84070.0,96970.0,86,99,10,10,4896,4114,1,1.0
4,151617,166,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92306.0,9792.0,4984.0,84070.0,97290.0,86,99,10,10,4896,2492,5,1.0E-4
4,151617,173,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-93092.0,9792.0,5268.0,84070.0,98360.0,86,100,10,10,4896,2634,5,0.01
4,151617,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74278.0,-87962.0,9792.0,7968.0,84070.0,95930.0,86,98,10,10,4896,3984,5,1.0
4,151617,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-90388.0,9792.0,4932.0,84070.0,95320.0,86,97,10,10,4896,2466,25,1.0E-4
4,151617,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-93016.0,9792.0,5224.0,84070.0,98240.0,86,100,10,10,4896,2612,25,0.01
4,151617,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74278.0,-84936.0,9792.0,7984.0,84070.0,92920.0,86,95,10,10,4896,3992,25,1.0
4,151617,224,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92316.0,9792.0,5804.0,84070.0,98120.0,86,100,10,10,4896,2902,125,1.0E-4
4,151617,170,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74278.0,-92138.0,9792.0,5192.0,84070.0,97330.0,86,99,10,10,4896,2596,125,0.01
4,151617,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74278.0,-87742.0,9792.0,8348.0,84070.0,96090.0,86,98,10,10,4896,4174,125,1.0
5,181920,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89546.0,11048.0,6384.0,78100.0,95930.0,80,98,10,10,5524,3192,1,1.0E-4
5,181920,186,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90470.0,11048.0,6440.0,78100.0,96910.0,80,99,10,10,5524,3220,1,0.01
5,181920,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-67052.0,-87902.0,11048.0,8808.0,78100.0,96710.0,80,99,10,10,5524,4404,1,1.0
5,181920,182,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90378.0,11048.0,6612.0,78100.0,96990.0,80,99,10,10,5524,3306,5,1.0E-4
5,181920,179,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89426.0,11048.0,6544.0,78100.0,95970.0,80,98,10,10,5524,3272,5,0.01
5,181920,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-67052.0,-86754.0,11048.0,9056.0,78100.0,95810.0,80,98,10,10,5524,4528,5,1.0
